"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.84
"same_srv_rate",82.93
"count",82.1
"srv_rerror_rate",81.23
"is_guest_login",80.52
"dst_host_rerror_rate",80.38
"dst_host_serror_rate",79.03
"dst_host_srv_diff_host_rate",78.62
"srv_count",77.9
"srv_serror_rate",77.54
"service",77.16
"dst_host_srv_count",74.1
"rerror_rate",71.27
"hot",66.12
"dst_bytes",7.15
"dst_host_count",3.52
"logged_in",1.06
"dst_host_diff_srv_rate",0.72
"dst_host_srv_serror_rate",0.41
"serror_rate",0.38
"wrong_fragment",0.21
"root_shell",0.14
"duration",0
"src_bytes",0
"land",0
"urgent",0
"num_failed_logins",0
"num_compromised",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"diff_srv_rate",0
"dst_host_same_srv_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
"flag",0
