"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.87
"dst_host_rerror_rate",82.82
"diff_srv_rate",80.36
"count",80.08
"is_guest_login",78.45
"flag",78.02
"srv_count",77.68
"dst_host_serror_rate",77.31
"service",76.91
"serror_rate",73.88
"dst_bytes",73.52
"dst_host_diff_srv_rate",72.71
"dst_host_srv_count",72.34
"dst_host_same_srv_rate",67.41
"hot",5.96
"dst_host_count",4.16
"logged_in",3.54
"dst_host_srv_diff_host_rate",2.09
"wrong_fragment",0.96
"duration",0
"src_bytes",0
"land",0
"urgent",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"srv_serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"same_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
