"feature","usage"
"same_srv_rate",100
"dst_host_same_src_port_rate",66.24
"srv_diff_host_rate",59.4
"count",55.42
"dst_host_serror_rate",54.95
"is_guest_login",53.97
"dst_host_srv_rerror_rate",53.71
"dst_host_rerror_rate",53.46
"srv_count",53.15
"dst_host_count",52.89
"dst_host_srv_diff_host_rate",52.89
"service",52.42
"srv_serror_rate",50.77
"dst_host_srv_count",50.23
"protocol_type",3.22
"dst_host_same_srv_rate",2.05
"wrong_fragment",0.6
"logged_in",0.39
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_diff_srv_rate",0
"dst_host_srv_serror_rate",0
"flag",0
