"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",87.75
"same_srv_rate",81.56
"count",78.72
"is_guest_login",77.71
"srv_rerror_rate",77.28
"dst_host_rerror_rate",76.91
"dst_host_srv_diff_host_rate",76.26
"dst_host_serror_rate",76.09
"srv_count",75.43
"service",75.07
"srv_serror_rate",72.37
"dst_host_srv_count",69.05
"dst_host_count",3.79
"dst_host_same_srv_rate",1.68
"logged_in",0.85
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"diff_srv_rate",0
"dst_host_diff_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
"flag",0
