"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",87.92
"count",81.75
"same_srv_rate",80.74
"is_guest_login",79.83
"dst_host_serror_rate",79.72
"dst_host_rerror_rate",78.72
"dst_host_srv_diff_host_rate",77.8
"srv_count",76.78
"flag",76.42
"service",76.26
"dst_host_srv_count",74.28
"srv_serror_rate",74.07
"dst_host_count",2.98
"dst_host_same_srv_rate",1.47
"logged_in",1.2
"dst_host_diff_srv_rate",0.6
"wrong_fragment",0.48
"dst_host_srv_serror_rate",0.31
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
