"feature","usage"
"dst_host_same_src_port_rate",100
"flag",89.36
"srv_diff_host_rate",81.55
"count",75.97
"same_srv_rate",75.06
"hot",74.37
"dst_host_rerror_rate",73.88
"dst_host_serror_rate",73.51
"srv_count",72.91
"dst_host_srv_diff_host_rate",72.57
"srv_serror_rate",71.67
"service",71.23
"dst_host_srv_count",69.66
"protocol_type",4.47
"dst_host_count",4.35
"wrong_fragment",1.3
"dst_host_same_srv_rate",1.2
"logged_in",1.01
"src_bytes",0.29
"root_shell",0.12
"duration",0
"dst_bytes",0
"land",0
"urgent",0
"num_failed_logins",0
"num_compromised",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"is_guest_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_diff_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
