"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.28
"count",82.34
"same_srv_rate",81.43
"dst_host_srv_rerror_rate",80.52
"is_guest_login",79.98
"dst_host_rerror_rate",79.54
"dst_host_serror_rate",79.07
"service",78.7
"srv_count",75.45
"srv_serror_rate",75.07
"dst_bytes",74.58
"dst_host_srv_count",73.56
"dst_host_count",4.7
"dst_host_srv_diff_host_rate",2.09
"dst_host_same_srv_rate",1.7
"flag",1.51
"logged_in",1.04
"wrong_fragment",0.93
"duration",0
"src_bytes",0
"land",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_diff_srv_rate",0
"dst_host_srv_serror_rate",0
"protocol_type",0
