"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.38
"count",82.5
"dst_host_srv_rerror_rate",81.49
"diff_srv_rate",80.87
"hot",79.97
"dst_host_rerror_rate",79.56
"dst_host_serror_rate",79.31
"srv_count",78.52
"dst_host_srv_diff_host_rate",78.15
"srv_serror_rate",77.18
"service",76.96
"dst_host_srv_count",73.57
"dst_host_same_srv_rate",6.66
"dst_host_count",3.32
"dst_host_srv_serror_rate",1.26
"logged_in",1.07
"same_srv_rate",0.9
"wrong_fragment",0.26
"serror_rate",0.21
"protocol_type",0.13
"src_bytes",0.07
"dst_host_diff_srv_rate",0.07
"duration",0
"dst_bytes",0
"land",0
"urgent",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"is_guest_login",0
"rerror_rate",0
"srv_rerror_rate",0
"flag",0
