"feature","usage"
"srv_diff_host_rate",100
"dst_host_same_src_port_rate",85.84
"flag",75.79
"diff_srv_rate",74.33
"count",73.1
"dst_host_serror_rate",72.24
"srv_count",72.2
"dst_host_rerror_rate",71.83
"hot",71.36
"dst_host_srv_diff_host_rate",70.54
"dst_host_count",70.44
"dst_host_srv_count",69.83
"service",69.83
"srv_serror_rate",67.69
"dst_host_diff_srv_rate",0.84
"logged_in",0.81
"dst_host_same_srv_rate",0.12
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"is_guest_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"same_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
