"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",87.87
"same_srv_rate",81.47
"count",80.4
"rerror_rate",79.53
"is_guest_login",78.92
"dst_host_rerror_rate",78.53
"dst_host_serror_rate",78.18
"dst_host_srv_diff_host_rate",77.49
"srv_count",77.01
"srv_serror_rate",76.62
"service",76.26
"dst_host_srv_count",73.03
"dst_host_count",3.34
"dst_host_same_srv_rate",1.43
"logged_in",1.22
"dst_host_srv_serror_rate",0.32
"src_bytes",0.17
"duration",0
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_diff_srv_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
"flag",0
