"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",87.54
"count",81.24
"same_srv_rate",80.18
"dst_host_srv_rerror_rate",79.29
"dst_host_rerror_rate",78.78
"dst_host_serror_rate",78.29
"dst_host_srv_diff_host_rate",77.84
"srv_count",77.39
"service",76.99
"srv_serror_rate",74.09
"dst_host_srv_count",73.07
"dst_host_count",3.76
"dst_host_same_srv_rate",1.39
"logged_in",0.64
"wrong_fragment",0.33
"dst_bytes",0.17
"duration",0
"src_bytes",0
"land",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"is_guest_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_diff_srv_rate",0
"dst_host_srv_serror_rate",0
"protocol_type",0
"flag",0
