"feature","usage"
"dst_host_same_src_port_rate",100
"dst_host_srv_serror_rate",89.25
"srv_diff_host_rate",84.27
"count",78.33
"flag",77.44
"dst_host_rerror_rate",76.61
"diff_srv_rate",75.69
"is_guest_login",74.96
"dst_host_serror_rate",74.6
"srv_count",74.26
"dst_host_srv_diff_host_rate",73.9
"service",72.96
"srv_serror_rate",71.18
"dst_host_srv_count",70.4
"dst_host_diff_srv_rate",5.4
"protocol_type",5.04
"dst_host_count",2.5
"dst_host_same_srv_rate",1.57
"logged_in",1.46
"wrong_fragment",0.59
"serror_rate",0.4
"dst_bytes",0.23
"duration",0
"src_bytes",0
"land",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"rerror_rate",0
"srv_rerror_rate",0
"same_srv_rate",0
"dst_host_srv_rerror_rate",0
