"feature","usage"
"dst_host_same_src_port_rate",100
"is_guest_login",86.12
"srv_diff_host_rate",80.93
"count",75.48
"diff_srv_rate",74.59
"dst_host_srv_rerror_rate",73.65
"dst_host_rerror_rate",73.21
"service",72.74
"dst_host_serror_rate",70.38
"srv_count",68.96
"srv_serror_rate",68.62
"dst_host_srv_count",67.85
"dst_host_same_srv_rate",5.07
"dst_host_count",4.33
"dst_host_srv_diff_host_rate",2.51
"flag",1.98
"logged_in",0.98
"src_bytes",0.46
"dst_host_srv_serror_rate",0.38
"duration",0
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"same_srv_rate",0
"dst_host_diff_srv_rate",0
"protocol_type",0
